EventID,SummitID,EventName,EventDate,EventLocation
39,18,"3rd Digital Economy Working Group Meeting",2023-06-12,Pune
40,18,"3rd Framework Working Group Meeting",2023-06-15,Kochi
41,18,"3rd Agriculture Deputies Meeting",2023-06-17,Hyderabad
42,18,"Agriculture Ministers Meeting",2023-06-19,Hyderabad
43,18,"4th Tourism Working Group Meeting",2023-06-19,Goa
44,18,"2nd Trade & Investment Working Group Meeting",2023-06-19,Kevadia
45,18,"3rd Sustainable Finance Working Group Meeting",2023-06-20,Mahabalipuram
46,18,"4th Education Working Group Meeting",2023-06-21,Pune
47,18,"Tourism Ministers Meeting",2023-06-22,Goa
48,18,"Education Ministers Meeting",2023-06-22,Pune
49,18,"3rd Meeting for the Global Partnership for Financial Inclusion",2023-06-22,Bali
50,18,"3rd Joint Health-Finance Task Force Meeting",2023-06-26,Virtual
51,18,"3rd Infrastructure Working Group Meeting",2023-07-10,Rishikesh
52,18,"3rd Sherpa Meeting",2023-07-13,Hampi
53,18,"3rd Trade & Investment Working Group Meeting",2023-07-14,Bengaluru
54,18,"3rd Finance and Central Bank Deputies Meeting",2023-07-15,Gandhinagar
55,18,"3rd Culture Working Group Meeting",2023-07-17,Hampi
56,18,"3rd Finance Ministers and Central Bank Governors Meeting",2023-07-19,Gandhinagar
57,18,"4th Energy Transitions Working Group Meeting",2023-07-19,Goa
58,18,"4th Employment Working Group Meeting",2023-07-21,Indore
59,18,"Labour and Employment Ministers Meeting",2023-07-22,Indore
60,18,"Energy Ministers Meeting",2023-07-24,Goa
61,18,"3rd Disaster Risk Reduction Working Group Meeting",2023-07-26,Chennai
62,18,"4th Environment and Climate Sustainability Working Group Meeting",2023-07-28,Chennai
63,18,"Environment and Climate Sustainability Ministers Meeting",2023-08-09,Chennai
64,18,"Anti-Corruption Ministers Meeting",2023-08-09,Kolkata
65,18,"Ministerial Meeting on Women’s Empowerment",2023-08-10,Gandhinagar
66,18,"Joint Health-Finance Ministers Meeting",2023-08-16,Gandhinagar
67,18,"4th Digital Economy Working Group Meeting",2023-08-17,Bengaluru
68,18,"4th Health Working Group Meeting",2023-08-18,Gandhinagar
69,18,"Health Working Group Ministers Meeting",2023-08-19,Gandhinagar
70,18,"Digital Economy Working Group Ministers Meeting",2023-08-21,Bengaluru
71,18,"4th Trade & Investment Working Group",2023-08-23,Jaipur
72,18,"Culture Ministers Meeting",2023-08-24,Varanasi
73,18,"Trade & Investment Ministers Meeting",2023-09-03,Jaipur
74,18,"4th Sherpa Meeting",2023-09-05,"New Delhi"
75,18,"4th Finance and Central Bank Deputies Meeting",2023-09-06,"New Delhi"
76,18,"Joint Sherpas and Finance Deputies Meeting",2023-09-07,"New Delhi"
77,18,"Joint Finance and Energy Deputies Meeting",2023-09-08,"New Delhi"
78,18,"Joint Finance and Energy Ministers Meeting",2023-09-09,"New Delhi"
79,18,"G20 Summit",2023-09-09,"New Delhi"
